name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
CasaOS,IceWhaleTech,30275,1653,Go,2021-09-26T02:33:09Z,2025-06-22T00:16:41Z,182617,30275,643,Organization,44,,191,20,24,70,1
k9s,derailed,30152,1890,Go,2019-01-25T18:46:02Z,2025-06-21T23:16:07Z,66536,30152,552,User,63,"Colorado, US",152,221,313,479,76
k3s,k3s-io,29994,2458,Go,2018-05-31T01:37:46Z,2025-06-21T23:43:00Z,584167,29994,125,Organization,45,,281,441,259,1007,13
lux,iawia002,29758,3159,Go,2018-02-24T11:29:03Z,2025-06-22T01:53:45Z,2534,29758,525,User,32,"Chengdu, China",387,16,104,7,8
filebrowser,filebrowser,29712,3344,Go,2015-09-11T21:21:58Z,2025-06-22T00:45:06Z,20995,29712,48,Organization,10,Earth,325,94,185,436,18
Xray-core,XTLS,29502,4375,Go,2020-11-09T11:23:10Z,2025-06-22T02:21:14Z,6547,29502,35,Organization,21,Ásgarðr,353,444,163,503,22
headscale,juanfont,29253,1577,Go,2020-06-21T09:21:05Z,2025-06-22T01:48:43Z,14986,29253,112,User,39,"Leiden, Netherlands",172,304,199,357,20
1Panel,1Panel-dev,29140,2544,Go,2022-07-19T15:44:52Z,2025-06-22T02:05:11Z,84406,29140,612,Organization,11,Hong Kong,185,766,70,1493,3
restic,restic,29052,1614,Go,2014-04-27T14:07:58Z,2025-06-22T02:28:29Z,69134,29052,462,Organization,13,,236,846,389,200,54
consul,hashicorp,29046,4484,Go,2013-11-04T22:15:27Z,2025-06-21T15:41:06Z,512011,29046,1298,Organization,919,"San Francisco, CA",898,199,352,408,43
AdGuardHome,AdguardTeam,28844,2048,Go,2016-07-06T10:31:47Z,2025-06-21T23:31:37Z,22585,28844,1146,Organization,104,Cyprus,305,189,90,164,48
