name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
GDevelop,4ian,14789,1004,JavaScript,2014-06-29T19:58:38Z,2025-06-21T07:45:18Z,970914,14789,509,User,61,"Paris, France",267,842,93,397,81
mathjs,josdejong,14782,1271,JavaScript,2013-02-15T19:46:01Z,2025-06-20T18:38:22Z,100605,14782,148,User,72,Rotterdam,223,276,225,95,31
paper.js,paperjs,14757,1249,JavaScript,2011-02-07T18:21:30Z,2025-06-19T06:00:38Z,111156,14757,432,Organization,11,Switzerland,397,4,74,2,59
automerge-classic,automerge,14734,462,JavaScript,2017-04-19T15:25:24Z,2025-06-19T04:38:10Z,4047,14734,78,Organization,37,,198,0,59,0,14
hapi,hapijs,14700,1342,JavaScript,2011-08-06T00:35:39Z,2025-06-19T19:36:47Z,17092,14700,80,Organization,75,,402,15,199,17,11
bootswatch,thomaspark,14692,3670,JavaScript,2012-02-07T04:31:56Z,2025-06-21T03:49:26Z,90048,14692,66,User,21,Philadelphia,476,32,90,13,1
browserify,browserify,14688,1200,JavaScript,2010-09-22T16:11:32Z,2025-06-20T13:00:44Z,2516,14688,380,Organization,76,,285,9,170,17,33
NodeBB,NodeBB,14633,2860,JavaScript,2013-04-22T16:49:40Z,2025-06-21T03:17:04Z,96737,14633,217,Organization,96,"Toronto, ON",364,1961,207,489,29
showdown,showdownjs,14633,1567,JavaScript,2008-11-13T21:39:21Z,2025-06-21T02:49:18Z,7964,14633,227,Organization,14,,192,0,74,5,9
keystone-classic,keystonejs,14590,2197,JavaScript,2013-07-02T05:01:55Z,2025-06-21T03:38:16Z,151918,14590,355,Organization,35,Australia,480,0,223,1,52
bootstrap-vue,bootstrap-vue,14517,1877,JavaScript,2016-10-08T15:59:35Z,2025-06-20T01:16:43Z,54238,14517,190,Organization,6,Global,284,48,330,50,14
react-markdown,remarkjs,14511,911,JavaScript,2015-05-18T23:59:17Z,2025-06-21T05:23:10Z,2071,14511,5,Organization,58,,57,43,65,55,3
exceljs,exceljs,14496,1862,JavaScript,2014-12-09T20:57:12Z,2025-06-21T02:43:02Z,21786,14496,732,Organization,2,,183,0,171,17,121
x-spreadsheet,myliang,14437,1745,JavaScript,2018-09-06T10:24:23Z,2025-06-20T03:10:48Z,4066,14437,408,User,51,beijing china,255,0,27,5,50
samples,webrtc,14362,5752,JavaScript,2013-09-20T10:40:23Z,2025-06-21T06:06:04Z,18431,14362,47,Organization,12,Sweden,617,54,99,15,13
shelljs,shelljs,14359,738,JavaScript,2012-03-02T17:04:47Z,2025-06-21T03:19:02Z,1637,14359,98,Organization,8,,169,47,84,84,10
mithril.js,MithrilJS,14287,926,JavaScript,2014-03-17T01:59:39Z,2025-06-21T07:45:38Z,10704,14287,22,Organization,12,,302,125,247,39,3
bootstrap,angular-ui,14239,6682,JavaScript,2012-10-05T18:27:01Z,2025-06-18T23:17:59Z,9938,14239,335,Organization,50,The Internet,752,0,355,0,65
prepack,facebookarchive,14189,416,JavaScript,2015-10-28T23:25:08Z,2025-06-11T08:17:26Z,19054,14189,232,Organization,495,,260,0,78,0,40
codelf,unbug,14174,971,JavaScript,2015-12-13T15:58:19Z,2025-06-19T23:32:33Z,23351,14174,42,User,289," Los Angeles, CA",251,0,4,0,8
editor.md,pandao,14172,2450,JavaScript,2015-02-01T04:24:14Z,2025-06-20T13:46:25Z,16106,14172,578,User,57,"Xiamen, China",369,0,19,1,25
node-http-proxy,http-party,14094,2007,JavaScript,2010-07-24T18:30:12Z,2025-06-21T07:49:50Z,1616,14094,613,Organization,5,Worldwide,267,0,177,4,106
supertest,ladjs,14062,769,JavaScript,2012-06-27T20:56:12Z,2025-06-20T13:27:24Z,798,14062,183,Organization,102,,113,10,85,14,13
